NumThreads,1,5,10,50,100,200
Schedule,,,,,,
Dynamic,0.382486,2.06966,3.56313,8.54442,15.3026,27.8364
Guided,0.177903,1.15614,2.58002,7.77325,11.7782,27.8508
Static 1,0.177875,2.07557,3.4347,8.17546,14.1474,21.1469
Static 100,0.177946,1.07774,2.92118,7.52334,11.0801,25.8933
Static 1000,0.177952,1.22047,2.87587,6.37811,12.4063,21.0523
